Frame ID,csi_1real,csi_1imag,csi_2real,csi_2imag,csi_3real,csi_3imag,csi_4real,csi_4imag,csi_5real,csi_5imag,csi_6real,csi_6imag,csi_7real,csi_7imag,csi_8real,csi_8imag,csi_9real,csi_9imag,csi_10real,csi_10imag,csi_11real,csi_11imag,csi_12real,csi_12imag,csi_13real,csi_13imag,csi_14real,csi_14imag,csi_15real,csi_15imag,csi_16real,csi_16imag,csi_17real,csi_17imag,csi_18real,csi_18imag,csi_19real,csi_19imag,csi_20real,csi_20imag,csi_21real,csi_21imag,csi_22real,csi_22imag,csi_23real,csi_23imag,csi_24real,csi_24imag,csi_25real,csi_25imag,csi_26real,csi_26imag,csi_27real,csi_27imag,csi_28real,csi_28imag,csi_29real,csi_29imag,csi_30real,csi_30imag,csi_31real,csi_31imag,csi_32real,csi_32imag,csi_33real,csi_33imag,csi_34real,csi_34imag,csi_35real,csi_35imag,csi_36real,csi_36imag,csi_37real,csi_37imag,csi_38real,csi_38imag,csi_39real,csi_39imag,csi_40real,csi_40imag,csi_41real,csi_41imag,csi_42real,csi_42imag,csi_43real,csi_43imag,csi_44real,csi_44imag,csi_45real,csi_45imag,csi_46real,csi_46imag,csi_47real,csi_47imag,csi_48real,csi_48imag,csi_49real,csi_49imag,csi_50real,csi_50imag,csi_51real,csi_51imag,csi_52real,csi_52imag,csi_53real,csi_53imag,csi_54real,csi_54imag,csi_55real,csi_55imag,csi_56real,csi_56imag,csi_57real,csi_57imag,csi_58real,csi_58imag,csi_59real,csi_59imag,csi_60real,csi_60imag,csi_61real,csi_61imag,csi_62real,csi_62imag,csi_63real,csi_63imag,csi_64real,csi_64imag,csi_65real,csi_65imag,csi_66real,csi_66imag,csi_67real,csi_67imag,csi_68real,csi_68imag,csi_69real,csi_69imag,csi_70real,csi_70imag,csi_71real,csi_71imag,csi_72real,csi_72imag,csi_73real,csi_73imag,csi_74real,csi_74imag,csi_75real,csi_75imag,csi_76real,csi_76imag,csi_77real,csi_77imag,csi_78real,csi_78imag,csi_79real,csi_79imag,csi_80real,csi_80imag,csi_81real,csi_81imag,csi_82real,csi_82imag,csi_83real,csi_83imag,csi_84real,csi_84imag,csi_85real,csi_85imag,csi_86real,csi_86imag,csi_87real,csi_87imag,csi_88real,csi_88imag,csi_89real,csi_89imag,csi_90real,csi_90imag,csi_91real,csi_91imag,csi_92real,csi_92imag,csi_93real,csi_93imag,csi_94real,csi_94imag,csi_95real,csi_95imag,csi_96real,csi_96imag,csi_97real,csi_97imag,csi_98real,csi_98imag,csi_99real,csi_99imag,csi_100real,csi_100imag,csi_101real,csi_101imag,csi_102real,csi_102imag,csi_103real,csi_103imag,csi_104real,csi_104imag,csi_105real,csi_105imag,csi_106real,csi_106imag,csi_107real,csi_107imag,csi_108real,csi_108imag,csi_109real,csi_109imag,csi_110real,csi_110imag,csi_111real,csi_111imag,csi_112real,csi_112imag,csi_113real,csi_113imag,csi_114real,csi_114imag,csi_115real,csi_115imag,csi_116real,csi_116imag,csi_117real,csi_117imag,csi_118real,csi_118imag,csi_119real,csi_119imag,csi_120real,csi_120imag,csi_121real,csi_121imag,csi_122real,csi_122imag,csi_123real,csi_123imag,csi_124real,csi_124imag,csi_125real,csi_125imag,csi_126real,csi_126imag,csi_127real,csi_127imag,csi_128real,csi_128imag,channel,distance
0,124,-64,7,0,17,12,17,11,16,10,16,9,17,9,17,9,17,8,17,7,16,7,16,7,16,7,16,6,16,6,16,5,16,5,16,5,15,6,15,6,15,6,15,6,14,6,13,7,13,7,12,8,12,8,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,20,12,19,13,18,14,17,15,17,15,17,16,16,16,15,17,15,17,15,17,15,18,14,18,14,17,15,17,14,17,15,16,15,16,15,15,15,15,15,15,1,5,15,16,14,16,13,16,13,16,13,17,12,9,12,26,33,25,31,26,29,26,27,27,26,27,26,27,25,26,24,27,23,28,22,29,21,29,19,29,19,28,19,28,19,28,19,27,20,27,19,26,20,25,19,24,19,23,19,23,19,22,20,21,21,19,22,17,23,16,24,5,8,1,2,-1,-1,-3,-2,-1,-2,4,1,13,7,35,22,35,25,33,29,31,33,29,36,26,37,23,38,21,39,20,39,20,40,20,40,20,40,20,40,19,40,19,39,19,39,19,38,19,37,20,36,20,36,21,36,21,36,21,35,22,35,23,34,23,33,25,32,26,11,250
1,30,-32,1,0,-8,21,-7,21,-7,21,-6,20,-6,19,-5,19,-5,20,-4,19,-3,18,-3,18,-3,18,-2,18,-2,18,-2,18,-2,18,-2,17,-2,17,-2,17,-2,17,-2,16,-2,16,-3,16,-4,15,-5,14,-6,14,-2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,6,-10,26,-12,26,-13,25,-14,24,-15,23,-15,22,-16,21,-17,21,-16,21,-16,20,-17,20,-17,20,-17,20,-16,20,-15,20,-15,20,-14,20,-14,20,-14,20,-13,20,-12,21,-11,21,-10,21,-10,20,-10,21,-10,21,-8,14,-20,40,-18,39,-17,38,-15,37,-14,36,-12,37,-12,37,-11,37,-9,38,-8,38,-7,37,-7,37,-6,36,-6,3,5,-6,34,-6,34,-5,34,-4,33,-3,31,-3,31,-5,30,-7,30,-9,30,-10,30,-11,29,-12,26,-13,24,-15,23,-6,7,-3,2,0,-1,0,-4,0,-2,-1,5,-4,18,-12,50,-15,49,-20,48,-24,46,-28,45,-30,43,-33,42,-34,40,-35,39,-35,38,-35,39,-35,39,-35,40,-35,39,-35,38,-34,36,-32,35,-31,36,-30,37,-29,38,-29,39,-29,39,-28,39,-27,39,-25,38,-24,38,-22,38,-21,11,250
2,30,-32,1,0,21,11,21,10,22,9,22,8,21,8,20,7,20,5,20,5,20,4,20,4,20,3,20,3,21,2,21,2,20,2,19,2,19,2,19,3,19,3,18,3,18,4,17,5,16,5,15,5,16,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,26,13,25,15,24,17,23,19,23,19,22,20,21,21,22,21,21,21,20,21,20,21,19,21,20,20,20,20,20,19,20,19,19,18,19,17,20,16,21,16,22,15,21,14,21,13,21,13,22,13,22,12,15,10,42,27,41,25,41,23,42,22,42,21,42,20,42,19,42,17,41,15,40,13,40,12,39,11,38,11,38,11,38,10,37,10,37,9,37,9,37,11,37,12,36,13,36,13,34,13,32,12,29,13,27,15,24,19,23,20,8,7,2,2,-1,-1,-3,-2,-2,-2,5,2,17,8,49,24,51,28,50,32,50,36,47,39,44,41,41,42,38,43,36,43,37,44,36,45,37,46,36,46,36,46,34,44,33,43,33,41,34,40,35,38,36,37,37,36,38,35,38,33,38,31,39,30,39,29,39,29,39,29,11,250
3,116,64,7,0,-18,12,-18,12,-16,12,-16,13,-15,13,-15,13,-14,14,-14,14,-13,14,-13,14,-12,14,-12,14,-12,14,-11,14,-11,14,-11,14,-1,0,14,-10,13,-11,12,-11,12,-11,12,-12,12,-12,11,-12,10,-13,9,-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,3,-22,14,-23,13,-24,12,-24,10,-24,10,-25,9,-25,9,-24,8,-24,7,-25,7,-25,7,-25,6,-25,6,-24,7,-23,7,-23,7,-23,7,-22,8,-22,8,-22,9,-21,9,-21,10,-20,10,-20,10,-20,11,-19,11,-10,12,-27,34,-27,32,-25,31,-24,32,-22,32,-20,33,-19,32,-18,32,-18,32,-17,32,-17,32,-17,32,-15,32,-14,31,-13,30,-13,30,-13,30,-14,29,-14,29,-14,29,-14,29,-14,29,-15,28,-16,27,-17,24,-18,21,-18,19,-19,18,-8,6,-3,1,0,-1,1,-3,1,-2,-3,4,-10,15,-29,40,-33,39,-36,38,-39,36,-41,34,-42,32,-42,30,-43,30,-44,28,-43,28,-43,26,-42,25,-42,24,-43,23,-43,23,-43,24,-41,24,-39,25,-38,26,-36,26,-35,26,-35,27,-34,28,-33,29,-33,30,-32,31,-30,30,-29,11,250
4,82,32,5,0,6,22,7,22,7,21,7,20,8,19,9,19,9,18,9,18,10,17,10,17,10,17,10,17,11,16,11,15,10,15,9,15,8,15,8,14,9,14,9,15,8,15,7,1,5,6,15,6,15,5,15,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,26,6,27,4,28,3,28,2,27,1,27,0,28,0,27,-1,27,-1,27,-1,27,-1,27,-1,28,-1,27,-1,26,0,26,1,25,2,24,2,24,2,24,2,24,3,24,4,23,4,23,4,23,4,23,3,15,10,44,11,43,13,42,15,40,16,39,16,38,16,37,17,35,17,35,18,33,18,32,19,32,19,32,19,32,19,31,19,31,18,30,18,29,17,28,17,28,17,29,15,30,14,31,12,31,10,30,8,29,6,28,3,27,1,9,-1,3,-1,-1,-2,-3,-1,-2,3,4,9,16,24,46,22,48,19,50,15,53,11,54,7,55,5,53,3,52,2,52,1,53,1,53,1,53,0,52,0,51,0,50,0,49,1,49,1,48,2,47,2,47,3,47,4,46,5,46,6,46,8,45,9,44,1,0,42,11,250
5,30,-32,1,0,22,-1,20,-2,20,-3,19,-3,19,-3,19,-4,19,-4,18,-5,18,-6,18,-6,17,-6,16,-6,16,-6,16,-6,15,-6,15,-6,15,-6,15,-6,15,-6,15,-6,16,-5,16,-4,15,-3,14,-2,14,-2,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,-1,26,0,26,1,26,3,26,5,26,5,26,5,25,6,24,7,24,7,24,7,24,7,23,7,24,7,24,7,23,6,23,5,22,5,23,5,23,5,23,4,22,3,22,2,22,1,22,1,22,0,21,0,17,-1,46,-3,44,-5,42,-8,40,-10,38,-10,38,-10,37,-9,36,-10,34,-12,34,-13,33,-14,32,-14,32,-14,33,-14,31,-13,31,-12,31,-12,30,-11,29,-11,30,-11,29,-11,29,-11,28,-10,28,-9,27,-7,25,-5,24,-4,23,-3,8,-1,1,0,-1,-1,-3,0,-2,0,4,-2,15,-5,45,-11,47,-11,50,-9,52,-7,54,-5,55,-3,53,0,51,4,50,7,49,8,49,8,49,9,49,9,49,9,47,10,47,9,46,7,45,5,44,5,45,4,45,3,46,3,46,3,46,3,44,2,42,1,41,-1,40,-3,11,250
6,30,-32,1,0,23,7,22,7,22,7,22,6,21,5,21,4,21,3,20,2,21,1,21,1,20,1,21,1,20,0,20,-1,19,-1,19,0,19,0,19,1,19,0,19,0,19,0,18,1,17,2,17,4,17,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,26,9,26,11,25,13,24,15,24,16,23,17,23,17,22,17,22,18,22,18,22,18,22,18,21,17,21,17,21,16,21,16,22,14,22,14,21,13,21,13,22,1,3,22,12,22,11,22,11,22,10,21,9,16,4,45,12,45,11,44,10,44,8,43,7,43,6,43,5,42,4,41,2,40,1,39,-1,38,-2,38,-2,38,-3,38,-3,38,-2,38,-2,38,-2,37,-1,36,-1,36,-1,36,0,35,2,35,4,33,6,32,7,31,9,30,9,10,3,3,0,-1,-1,-4,-1,-2,-1,5,-1,18,0,51,4,52,7,53,12,53,16,54,20,52,23,51,25,49,27,48,28,47,29,46,29,45,30,45,29,44,30,44,30,44,29,45,27,45,26,44,24,44,23,44,22,43,21,44,20,44,19,45,18,45,16,44,14,43,11,250
7,124,-64,7,0,-1,-24,-1,-23,-1,-22,-3,-22,-3,-22,-3,-21,-4,-21,-5,-20,-5,-20,-5,-19,-6,-18,-6,-19,-6,-19,-7,-18,-6,-17,-6,-17,-6,-17,-6,-16,-6,-16,-6,-16,-5,-17,-5,-17,-4,-17,-2,-16,-2,-15,-1,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-8,0,-30,2,-30,4,-30,6,-30,7,-29,7,-29,7,-28,8,-28,8,-27,8,-27,8,-27,8,-2,6,8,-26,8,-26,8,-26,8,-26,7,-26,6,-25,5,-25,4,-26,3,-26,3,-25,2,-25,1,-25,1,-25,0,-25,3,-17,9,-47,7,-46,6,-45,5,-43,4,-42,3,-41,2,-40,0,-40,-2,-40,-3,-40,-3,-39,-4,-38,-4,-37,-4,-3,7,-5,-36,-5,-35,-5,-34,-6,-34,-6,-34,-5,-34,-4,-34,-3,-34,-2,-33,1,-32,3,-30,4,-29,5,-27,6,-26,2,-9,0,-3,-1,0,0,3,-1,1,-1,-7,-1,-21,-1,-57,1,-58,6,-58,10,-56,15,-55,19,-52,22,-51,2,3,-51,24,-51,25,-50,26,-50,26,-49,25,-48,24,-47,23,-47,23,-46,21,-46,20,-45,18,-45,17,-45,17,-46,17,-46,18,-47,18,-48,16,-49,13,-48,9,11,250
8,30,-32,1,0,-20,-8,-20,-8,-20,-7,-20,-6,-20,-5,-20,-5,-20,-5,-19,-4,-18,-4,-18,-3,-19,-3,-19,-2,-18,-2,-18,-1,-18,-1,-18,-1,-1,7,-1,-17,-1,-16,-1,-15,-1,-15,-2,-15,-2,-15,-3,-14,-4,-14,-5,-4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,-3,-25,-11,-25,-13,-24,-14,-23,-15,-22,-16,-21,-16,-21,-16,-22,-16,-21,-17,-20,-18,-20,-18,-20,-18,-20,-18,-20,-18,-20,-17,-19,-16,-19,-15,-20,-14,-20,-14,-20,-13,-20,-13,-21,-12,-20,-11,-20,-11,-20,-11,-20,-11,-16,-3,-44,-7,-42,-6,-41,-4,-40,-3,-39,-1,-39,-1,-38,0,-37,1,-37,3,-36,4,-35,5,-34,6,-33,6,-34,6,-34,7,-33,7,-33,7,-32,7,-30,6,-30,5,-30,5,-30,4,-29,4,-28,2,-27,0,-27,-2,-26,-5,-26,-7,-10,-3,-4,-2,1,0,3,-1,1,0,-6,1,-19,1,-5,2,2,-53,-1,-53,-5,-53,-9,-52,-13,-50,-15,-48,-16,-47,-18,-47,-19,-47,-20,-48,-20,-48,-21,-47,-21,-45,-22,-44,-22,-43,-21,-44,-20,-45,-17,-45,-16,-44,-15,-44,-14,-43,-14,-44,-12,-46,-11,-47,-9,-46,-8,-43,-7,11,250
9,116,64,7,0,21,9,21,8,20,7,20,7,21,6,20,5,19,5,19,4,19,4,20,4,19,3,19,3,18,3,19,2,18,1,18,2,18,2,17,2,17,1,16,2,16,3,16,3,14,3,14,4,13,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,27,10,26,13,25,15,24,16,23,17,22,17,22,17,22,18,22,18,21,19,20,19,20,19,20,18,19,17,20,17,20,17,20,16,20,15,20,14,20,14,21,13,21,13,21,12,21,12,22,12,23,12,16,5,46,14,45,13,43,11,42,10,41,8,40,7,40,5,40,4,40,3,40,2,40,2,38,1,37,0,36,-2,36,-2,35,-2,36,-1,35,0,34,1,33,1,32,1,33,1,33,2,32,4,30,7,28,9,26,10,25,10,8,3,2,0,-1,-1,-4,-1,-2,-1,6,0,20,4,56,12,55,15,53,18,53,22,51,25,50,28,47,30,46,32,44,33,44,33,43,33,44,33,43,33,42,32,42,32,43,31,43,29,43,28,43,26,42,26,42,26,42,25,43,24,4,4,22,44,21,44,19,44,18,43,11,250
